Path,Pitch,RMSE,PercentSilence,FrequencyMagnitude
E:/CHTPT_code_me/static/Boat/Boat5.wav,"[44.619476, 45.70197, 44.752617, 45.56501, 45.9842, 46.398514, 46.173508]","[10.348326058755088, 9.891892624797212, 10.83685718386689, 10.715983424978774, 8.772429063295325, 10.217247200974574, 9.690545246537242]","[49.73696145124716, 47.13832199546485, 52.1859410430839, 44.03174603174603, 42.848072562358276, 49.70068027210884, 46.117762919193495]","[(819, 3156.918824669224), (30921, 61.48240278453176), (44418, 41.502114244054745), (88082, 26.77591906377266), (109932, 41.502114244054745), (123429, 61.48240278453176), (153531, 3156.9188246692233)]"
E:/CHTPT_code_me/static/Boat/Boat6.wav,"[46.857838, 45.731297, 46.698627, 46.21645, 46.496883, 45.422386, 45.406487]","[9.676955328888102, 9.543119506755223, 9.829242696009931, 10.342316154301876, 11.32105587582503, 8.557143098109268, 10.34334365699795]","[46.82993197278912, 52.140589569161, 50.04081632653061, 51.58276643990929, 54.662131519274375, 46.61678004535147, 52.43546882288913]","[(815, 4577.018761585214), (22278, 55.326360247331266), (51622, 39.557024326679525), (87988, 30.12488178458811), (102728, 39.55702432667952), (132072, 55.32636024733126), (153535, 4577.018761585214)]"
E:/CHTPT_code_me/static/Boat/Boat7.wav,"[45.236107, 46.74736, 45.583027, 45.996773, 45.748226, 46.947247, 44.473198]","[13.084318396786964, 10.094493487295473, 10.724318663900098, 10.469238233054057, 8.487227979570715, 8.36121322298866, 9.997939768557748]","[44.61224489795919, 49.6734693877551, 44.85714285714286, 47.188208616780045, 44.235827664399096, 48.86621315192744, 46.65033950137355]","[(819, 3588.3531628092005), (36946, 58.76795914942681), (44116, 46.99379744315057), (67315, 21.933989660698956), (110234, 46.99379744315058), (117404, 58.76795914942681), (153531, 3588.3531628092005)]"
E:/CHTPT_code_me/static/Boat/Boat8.wav,"[47.238136, 46.502728, 43.359882, 44.87392, 45.66236, 44.87751, 45.386597]","[10.107420352666617, 9.475766938357125, 8.794585639649691, 8.686090915303101, 8.357051610974374, 7.789601628125335, 10.187718910934304]","[42.86167800453514, 50.11791383219955, 48.97959183673469, 44.92063492063492, 49.47392290249433, 46.94331065759637, 45.856657855180636]","[(819, 4972.315682549714), (25885, 61.53759735800476), (44502, 49.20252178481729), (66978, 31.056237302765453), (109848, 49.20252178481727), (128465, 61.53759735800475), (153531, 4972.315682549714)]"
E:/CHTPT_code_me/static/Boat/Boat9.wav,"[46.5532, 45.94111, 45.124454, 43.832596, 45.664894, 45.135635, 44.26911]","[10.422300828924012, 10.117216219770766, 9.495147559417612, 10.070775677117386, 9.90532312730682, 10.198825924280321, 10.410578555560537]","[46.25396825396826, 43.68253968253968, 44.018140589569164, 47.2108843537415, 48.94784580498867, 47.29705215419501, 45.56445342870471]","[(820, 2570.1626282520383), (32189, 61.987742938774296), (44468, 45.08362869498019), (87468, 26.15674719190368), (109882, 45.08362869498021), (122161, 61.98774293877429), (153530, 2570.1626282520388)]"
E:/CHTPT_code_me/static/Car/Car1.wav,"[42.996387, 39.8238, 36.711555, 40.247414, 39.13386, 41.213154, 40.427456]","[16.021816206143, 18.588932008216425, 18.81688589429749, 20.22171438757574, 21.055791442215973, 19.363140407949686, 21.066081949642726]","[54.843537414965986, 57.78231292517007, 57.10657596371882, 56.21768707482993, 58.54421768707483, 57.21995464852608, 57.47356554190639]","[(614, 2424.9123223513006), (25072, 22.482958639636824), (44227, 11.680470990499225), (71548, 7.744866100538813), (110123, 11.680470990499204), (129278, 22.482958639636824), (153736, 2424.9123223513006)]"
E:/CHTPT_code_me/static/Car/Car10.wav,"[38.753155, 38.24562, 40.49432, 39.252457, 40.676212, 39.865837, 40.512283]","[15.505935976195127, 24.742293364501425, 19.8438005394391, 23.394581648920262, 20.64872505531336, 21.692300867289305, 18.81220646623877]","[58.621315192743765, 53.374149659863946, 55.09750566893424, 56.22675736961451, 59.36507936507937, 57.02947845804989, 56.90017104649355]","[(655, 2256.1470870617136), (27076, 20.349034487972112), (50614, 9.447485167163679), (87388, 10.551697926763586), (103736, 9.447485167163679), (127274, 20.3490344879721), (153695, 2256.1470870617136)]"
E:/CHTPT_code_me/static/Car/Car11.wav,"[40.539597, 40.36561, 39.671734, 40.62498, 38.628563, 38.779694, 39.416046]","[22.118575845000354, 20.47522414830469, 19.1307077311822, 18.84032899480579, 18.31210887813497, 19.425195783731482, 17.911507644956664]","[56.22675736961451, 59.36507936507937, 57.02947845804989, 54.25396825396825, 55.492063492063494, 55.941043083900226, 56.63129114186493]","[(653, 2827.680591912532), (23658, 23.437337050910603), (45341, 9.639252848553483), (86805, 8.826662334963373), (109009, 9.639252848553504), (130692, 23.43733705091063), (153697, 2827.6805919125327)]"
E:/CHTPT_code_me/static/Car/Car12.wav,"[41.153225, 38.99142, 39.22089, 39.120434, 38.622284, 38.599514, 39.11887]","[17.454370856285095, 18.74104138419387, 18.475990908475417, 17.607037857219222, 14.287778388132297, 21.203364338725805, 17.849868885795807]","[54.25396825396825, 55.492063492063494, 55.941043083900226, 55.82766439909297, 57.564625850340136, 54.7936507936508, 55.91406209506039]","[(360, 2678.749559983326), (23681, 21.64786775301897), (44250, 10.772849552136842), (86857, 8.325903770408289), (110100, 10.77284955213686), (130669, 21.647867753018986), (153990, 2678.7495599833255)]"
E:/CHTPT_code_me/static/Car/Car13.wav,"[40.02837, 38.55191, 38.94971, 39.121597, 40.35837, 39.913425, 38.522957]","[19.12342845245676, 16.410830554308458, 20.767009324793303, 16.66352610724668, 18.169365665831027, 19.365045650019532, 17.550900784720266]","[55.82766439909297, 57.564625850340136, 54.7936507936508, 57.95011337868481, 54.89342403628118, 55.96371882086168, 55.3853729331882]","[(359, 2521.7558826554214), (27016, 22.431732546639875), (44744, 9.65016152701951), (67430, 8.238599082664297), (109606, 9.650161527019538), (127334, 22.43173254663985), (153991, 2521.7558826554214)]"
